Año,Trimestre,PM,Calle,IMDL,IMDS,IMDD,IMHPL,HPL,IMHPS,HPS,IMHPD,HPD
2021,1,1,Avda. Juan Sebastian Elcano - Este,4830,3931,3092,382,8,359,13,313,13
2021,1,2,Avda. Juan Sebastian Elcano - Oeste,15296,12736,10154,1313,8,1134,13,972,13
2021,1,3,Bolivia - Este,11470,9383,7376,1161,14,938,14,866,13
2021,1,4,P.M. Pablo Ruiz Picasso - Este,15658,11103,8714,1731,14,1115,13,993,13
2021,1,5,P.M. Pablo Ruiz Picasso - Oeste,19796,15812,12458,1768,8,1394,13,1217,13
2022,3,1,Avda. Juan Sebastian Elcano - Este,5001,4141,3486,411,8,316,12,249,20
2022,3,2,Avda. Juan Sebastian Elcano - Oeste,16690,14513,12072,1425,8,1076,13,924,19
2022,3,3,Bolivia - Este,12503,10676,9133,1137,14,886,13,833,13
2022,3,4,P.M. Pablo Ruiz Picasso - Este,17118,13586,11123,1707,14,1172,13,990,13
2022,3,5,P.M. Pablo Ruiz Picasso - Oeste,22849,19642,16375,1912,8,1388,13,1265,19
2023,1,1,Avda. Juan Sebastian Elcano - Este,5013,4488,3701,374,8,363,13,326,13
2023,1,2,Avda. Juan Sebastian Elcano - Oeste,16329,14605,12216,1351,8,1132,13,994,13
2023,1,3,Bolivia - Este,12386,11253,9288,1131,14,1046,13,950,13
