Año,Trimestre,PM,Punto de Medida,IMDL,IMDS,IMDD,IMHPL,IMHPS,IMHPD
2020,1,1,Avda. Juan Sebastian Elcano - Este,5745,3777,3563,452,374,355
2020,2,1,Avda. Juan Sebastian Elcano - Este,4750,3927,3441,434,305,266
2019,1,1,Avda. Juan Sebastian Elcano - Este,4340,3642,3566,385,379,320
2019,2,1,Avda. Juan Sebastian Elcano - Este,4902,4515,3092,403,363,360
2018,1,1,Avda. Juan Sebastian Elcano - Este,5659,3204,3449,307,325,288
2018,2,1,Avda. Juan Sebastian Elcano - Este,5256,4246,2597,328,341,322
2017,1,1,Avda. Juan Sebastian Elcano - Este,4789,4284,3436,398,423,294
2017,2,1,Avda. Juan Sebastian Elcano - Este,5631,3359,2626,444,294,285
2016,1,1,Avda. Juan Sebastian Elcano - Este,4130,4248,2970,352,349,353
2016,2,1,Avda. Juan Sebastian Elcano - Este,5743,4043,2479,421,406,298
2015,1,1,Avda. Juan Sebastian Elcano - Este,5132,3370,2515,306,430,364
2015,2,1,Avda. Juan Sebastian Elcano - Este,4582,3246,2945,410,371,271
2014,1,1,Avda. Juan Sebastian Elcano - Este,4972,3955,3268,444,419,280
2014,2,1,Avda. Juan Sebastian Elcano - Este,5074,3931,3587,370,381,353
2013,1,1,Avda. Juan Sebastian Elcano - Este,5150,3638,3622,457,429,325
2013,2,1,Avda. Juan Sebastian Elcano - Este,5349,3767,3259,404,291,333
2012,1,1,Avda. Juan Sebastian Elcano - Este,4582,4541,2496,444,357,322
2012,2,1,Avda. Juan Sebastian Elcano - Este,5520,4448,3226,449,423,322
2011,1,1,Avda. Juan Sebastian Elcano - Este,5017,4076,2668,386,418,254
2011,2,1,Avda. Juan Sebastian Elcano - Este,4128,4705,3011,358,401,362
2010,1,1,Avda. Juan Sebastian Elcano - Este,4904,3947,2842,380,371,302
2010,2,1,Avda. Juan Sebastian Elcano - Este,4773,4075,3648,315,415,283
2020,1,2,Avda. Juan Sebastian Elcano - Oeste,16287,11056,10558,1350,1258,999
2020,2,2,Avda. Juan Sebastian Elcano - Oeste,15265,13806,9219,1111,1281,928
2019,1,2,Avda. Juan Sebastian Elcano - Oeste,12460,11321,8685,1567,960,930
2019,2,2,Avda. Juan Sebastian Elcano - Oeste,14390,12592,8828,1312,1299,1131
2018,1,2,Avda. Juan Sebastian Elcano - Oeste,15244,14917,8216,1543,1136,873
2018,2,2,Avda. Juan Sebastian Elcano - Oeste,17071,11040,11673,1080,1256,840
2017,1,2,Avda. Juan Sebastian Elcano - Oeste,15018,11036,12018,1495,1215,1014
2017,2,2,Avda. Juan Sebastian Elcano - Oeste,16310,13893,9905,1490,1292,973
2016,1,2,Avda. Juan Sebastian Elcano - Oeste,16407,13882,12154,1263,1204,1061
2016,2,2,Avda. Juan Sebastian Elcano - Oeste,17002,11979,10017,1408,1031,988
2015,1,2,Avda. Juan Sebastian Elcano - Oeste,16559,14116,9579,1420,986,803
2015,2,2,Avda. Juan Sebastian Elcano - Oeste,12494,12139,10349,1396,1345,894
