Año,Día,Hora,SentidoNorte,SentidoSur
2019,1,0,370,274
2019,1,1,171,117
2019,1,2,72,99
2019,1,3,100,100
2019,1,4,72,86
2019,1,5,304,236
2019,1,6,827,632
2019,1,7,1190,1543
2019,1,8,1553,1832
2019,1,9,1606,1969
2019,1,10,1450,1248
2019,1,11,1286,1080
2019,1,12,1359,1284
2019,1,13,1761,1840
2019,1,14,2156,1913
2019,1,15,2726,2155
2019,1,16,2524,3416
2019,1,17,3583,3893
2019,1,18,4339,3587
2019,1,19,3960,3683
2019,1,20,2048,2291
2019,1,21,1837,2188
2019,1,22,1390,1945
2019,1,23,1444,1421
2019,2,0,350,262
2019,2,1,162,77
2019,2,2,59,88
2019,2,3,80,82
2019,2,4,87,82
2019,2,5,381,375
2019,2,6,666,507
2019,2,7,1939,1621
2019,2,8,2322,1681
2019,2,9,1578,1789
2019,2,10,1357,1074
2019,2,11,996,1066
2019,2,12,1426,1367
2019,2,13,1217,1324
2019,2,14,1794,1619
2019,2,15,2607,2346
2019,2,16,3484,2758
2019,2,17,3373,3694
2019,2,18,4188,3561
2019,2,19,3748,3214
2019,2,20,2890,2447
2019,2,21,1625,1965
2019,2,22,1874,1403
2019,2,23,1321,710
2019,3,0,314,382
2019,3,1,181,69
2019,3,2,90,86
2019,3,3,63,78
2019,3,4,93,117
2019,3,5,236,203
2019,3,6,596,816
2019,3,7,1769,1098
2019,3,8,2493,2484
2019,3,9,1559,1504
2019,3,10,1363,1630
2019,3,11,974,1005
2019,3,12,1474,1541
2019,3,13,1157,1984
2019,3,14,2000,2489
2019,3,15,2891,2947
2019,3,16,3331,2666
2019,3,17,3559,3959
2019,3,18,3654,3890
2019,3,19,3128,3950
2019,3,20,2143,2003
2019,3,21,2389,1605
2019,3,22,1442,1934
2019,3,23,917,580
2019,4,0,311,180
2019,4,1,102,124
2019,4,2,75,71
2019,4,3,80,51
2019,4,4,72,141
2019,4,5,287,286
2019,4,6,777,828
2019,4,7,1067,1235
2019,4,8,2409,2250
2019,4,9,1944,2124
2019,4,10,1685,1392
2019,4,11,1374,1507
2019,4,12,998,1429
2019,4,13,1175,1148
2019,4,14,1556,2441
2019,4,15,2481,2236
2019,4,16,3301,2744
2019,4,17,3606,3130
2019,4,18,3791,3855
2019,4,19,3265,3425
2019,4,20,2133,2841
2019,4,21,1806,2380
2019,4,22,1772,1718
2019,4,23,730,1125
2019,5,0,340,142
2019,5,1,179,166
2019,5,2,61,85
2019,5,3,94,52
2019,5,4,122,105
2019,5,5,259,353
2019,5,6,900,545
2019,5,7,1899,1983
2019,5,8,1951,2441
2019,5,9,1562,1693
2019,5,10,1106,1756
2019,5,11,930,1155
2019,5,12,1150,1115
2019,5,13,1980,1482
2019,5,14,2327,2277
2019,5,15,2021,2234
2019,5,16,2922,2915
2019,5,17,3160,3959
2019,5,18,3585,4021
2019,5,19,3324,3211
2019,5,20,2847,2335
2019,5,21,2244,2051
2019,5,22,1950,1745
2019,5,23,814,681
2019,6,0,221,111
2019,6,1,59,186
2019,6,2,58,99
2019,6,3,100,60
2019,6,4,79,136
2019,6,5,282,224
2019,6,6,574,893
2019,6,7,1487,1693
2019,6,8,1818,2243
2019,6,9,2141,2134
2019,6,10,1363,1610
2019,6,11,1627,1389
2019,6,12,1168,1378
2019,6,13,1885,1678
2019,6,14,1912,2096
2019,6,15,2235,2918
2019,6,16,2570,3059
2019,6,17,3279,3147
2019,6,18,4212,3824
2019,6,19,3628,3600
2019,6,20,2963,2006
2019,6,21,1897,2194
2019,6,22,1388,1192
2019,6,23,1438,1440
2019,7,0,161,133
2019,7,1,222,137
2019,7,2,67,80
2019,7,3,57,96
2019,7,4,84,99
2019,7,5,247,365
2019,7,6,507,739
2019,7,7,1274,1387
2019,7,8,2232,2391
2019,7,9,1369,1584
2019,7,10,1367,1704
2019,7,11,1360,1438
2019,7,12,1585,1387
2019,7,13,1654,1841
2019,7,14,1972,2207
2019,7,15,2464,2328
2019,7,16,2835,3361
2019,7,17,3590,3680
2019,7,18,4410,3988
2019,7,19,3298,3594
2019,7,20,2835,2266
2019,7,21,2002,1523
2019,7,22,1112,1316
2019,7,23,1261,853
2019,8,0,163,166
2019,8,1,152,214
2019,8,2,68,52
2019,8,3,63,50
2019,8,4,127,85
2019,8,5,344,350
2019,8,6,570,555
2019,8,7,1975,1127
2019,8,8,1700,1616
2019,8,9,1705,1505
2019,8,10,1197,1688
2019,8,11,1098,1323
2019,8,12,942,1355
2019,8,13,1910,1568
2019,8,14,1558,1911
2019,8,15,2327,2235
2019,8,16,2513,3402
2019,8,17,3401,3580
2019,8,18,3773,3551
2019,8,19,3947,3103
2019,8,20,2534,2468
2019,8,21,1924,2218
2019,8,22,1224,1871
2019,8,23,1103,682
2019,9,0,377,200
2019,9,1,97,148
2019,9,2,100,54
2019,9,3,58,53
2019,9,4,51,57
2019,9,5,262,382
2019,9,6,852,790
2019,9,7,1650,1875
2019,9,8,2095,2296
2019,9,9,1639,2067
2019,9,10,1001,1610
2019,9,11,914,1640
2019,9,12,1274,1305
2019,9,13,1032,1176
2019,9,14,2264,2415
2019,9,15,2850,2485
2019,9,16,2515,3215
2019,9,17,3712,3279
2019,9,18,4185,4420
2019,9,19,3155,3133
2019,9,20,2180,2887
2019,9,21,1931,2429
2019,9,22,1924,1260
2019,9,23,1358,1229
2019,10,0,241,307
2019,10,1,96,164
2019,10,2,76,57
2019,10,3,62,63
2019,10,4,149,116
2019,10,5,335,321
2019,10,6,932,787
2019,10,7,1634,1271
2019,10,8,2197,1832
2019,10,9,1900,2085
2019,10,10,1314,1034
2019,10,11,989,1450
2019,10,12,1345,1560
2019,10,13,1923,1530
2019,10,14,2055,2147
2019,10,15,2610,2125
2019,10,16,2763,2947
2019,10,17,3901,3651
2019,10,18,4153,4007
2019,10,19,3928,3849
2019,10,20,2146,2900
2019,10,21,1510,1633
2019,10,22,1843,1249
2019,10,23,1018,604
2019,11,0,270,372
2019,11,1,105,160
2019,11,2,86,71
2019,11,3,69,55
2019,11,4,53,87
2019,11,5,251,371
2019,11,6,977,695
2019,11,7,1163,1655
2019,11,8,1708,1625
2019,11,9,1965,2027
2019,11,10,1059,1563
2019,11,11,1474,1555
2019,11,12,1041,924
2019,11,13,1758,1663
2019,11,14,1910,2478
2019,11,15,2071,2622
2019,11,16,3403,2710
2019,11,17,3412,3647
2019,11,18,4050,4242
2019,11,19,3052,3722
2019,11,20,2802,2750
2019,11,21,2188,2282
2019,11,22,1104,1091
2019,11,23,1414,1429
2019,12,0,116,138
2019,12,1,176,200
2019,12,2,64,58
2019,12,3,66,76
2019,12,4,97,125
2019,12,5,249,308
2019,12,6,897,675
2019,12,7,1426,1819
2019,12,8,2017,2358
2019,12,9,2157,1509
2019,12,10,1259,1763
2019,12,11,1288,1472
2019,12,12,874,1431
2019,12,13,1268,1643
2019,12,14,1646,1605
2019,12,15,2477,2982
2019,12,16,3266,2843
2019,12,17,3401,3214
2019,12,18,3605,4019
2019,12,19,3261,3073
2019,12,20,2768,2815
2019,12,21,1687,1860
2019,12,22,1933,1308
2019,12,23,1170,1167
2019,13,0,394,112
2019,13,1,87,168
2019,13,2,85,98
2019,13,3,59,54
2019,13,4,132,124
2019,13,5,295,222
2019,13,6,633,981
2019,13,7,1366,1423
2019,13,8,1892,1552
2019,13,9,2143,2113
2019,13,10,1119,1604
2019,13,11,1107,1412
2019,13,12,1162,1213
2019,13,13,1412,1051
2019,13,14,2042,2422
2019,13,15,2722,2786
2019,13,16,2845,3498
2019,13,17,3325,3869
2019,13,18,3803,4032
2019,13,19,3547,3197
2019,13,20,2272,2282
2019,13,21,2316,1886
2019,13,22,2000,1527
2019,13,23,538,788
2019,14,0,202,114
2019,14,1,228,220
2019,14,2,94,93
2019,14,3,62,53
2019,14,4,52,129
2019,14,5,237,322
2019,14,6,675,727
2019,14,7,1158,1085
2019,14,8,2087,1916
2019,14,9,2057,2005
2019,14,10,1249,1789
2019,14,11,1182,1232
2019,14,12,1580,1360
2019,14,13,1933,1700
2019,14,14,1525,2044
2019,14,15,2888,2828
2019,14,16,3345,3371
2019,14,17,3101,3813
2019,14,18,3572,3528
2019,14,19,3677,3025
2019,14,20,2447,2321
2019,14,21,1619,1779
2019,14,22,1366,1585
2019,14,23,820,515
2019,15,0,308,189
2019,15,1,165,219
2019,15,2,84,68
2019,15,3,72,56
2019,15,4,134,124
2019,15,5,328,385
2019,15,6,973,811
2019,15,7,1200,1258
2019,15,8,1568,1866
2019,15,9,1391,1442
2019,15,10,1106,1314
2019,15,11,985,1384
2019,15,12,1445,1591
2019,15,13,1262,1165
2019,15,14,1813,2105
2019,15,15,2190,2003
2019,15,16,3207,2906
2019,15,17,3571,3740
2019,15,18,4291,4027
2019,15,19,3617,3937
2019,15,20,2855,2661
2019,15,21,2185,2444
2019,15,22,1137,1613
2019,15,23,965,908
2019,16,0,166,133
2019,16,1,67,115
